funcao_objetivo;problema;modelo;ordem_sol
69;ID001_M003_J004;manne;1
51;ID001_M003_J004;manne;2
31;ID001_M003_J004;manne;3
29;ID001_M003_J004;manne;4
33;ID001_M003_J004;manne;5
33;ID001_M003_J004;minla_fav;1
31;ID001_M003_J004;minla_fav;2
29.000000000000004;ID001_M003_J004;minla_fav;3
69;ID002_M003_J005;manne;1
34;ID002_M003_J005;manne;2
33;ID002_M003_J005;manne;3
37;ID002_M003_J005;minla_fav;1
33;ID002_M003_J005;minla_fav;2
1260;ID003_M015_J015;manne;1
1270;ID003_M015_J015;manne;2
1248;ID003_M015_J015;manne;3
1487.0000000000002;ID003_M015_J015;manne;4
1214.0000000000005;ID003_M015_J015;manne;5
1244;ID003_M015_J015;manne;6
1232;ID003_M015_J015;manne;7
1307;ID003_M015_J015;manne;8
1240;ID003_M015_J015;manne;9
1249;ID003_M015_J015;manne;10
1466;ID003_M015_J015;manne;11
1273.9999999950001;ID003_M015_J015;manne;12
1407.9999999999998;ID003_M015_J015;manne;13
1228;ID003_M015_J015;manne;14
1250;ID003_M015_J015;manne;15
1271;ID003_M015_J015;manne;16
1246;ID003_M015_J015;manne;17
1262;ID003_M015_J015;manne;18
1303.9999999999993;ID003_M015_J015;manne;19
1337.0000000000005;ID003_M015_J015;manne;20
9634.9999999999982;ID003_M015_J015;manne;21
1324.9999999999998;ID003_M015_J015;manne;22
1349.0000000000002;ID003_M015_J015;manne;23
1270;ID003_M015_J015;manne;24
1210.000000000003;ID003_M015_J015;manne;25
1227.0000000000014;ID003_M015_J015;manne;26
1276;ID003_M015_J015;manne;27
1266.9999999999998;ID003_M015_J015;manne;28
9371.9999999719857;ID003_M015_J015;manne;29
1221.9999999900001;ID003_M015_J015;manne;30
1266.9999999999998;ID003_M015_J015;manne;31
1410.9999999999998;ID003_M015_J015;manne;32
1385;ID003_M015_J015;manne;33
1433;ID003_M015_J015;manne;34
1575.9999998379042;ID003_M015_J015;manne;35
1338.0000000000034;ID003_M015_J015;manne;36
1266.9999999999998;ID003_M015_J015;manne;37
1434;ID003_M015_J015;manne;38
1366;ID003_M015_J015;manne;39
1236;ID003_M015_J015;manne;40
1336.0000000000005;ID003_M015_J015;manne;41
1225.0000000000011;ID003_M015_J015;manne;42
1312.0000000000002;ID003_M015_J015;manne;43
1310.0000000000002;ID003_M015_J015;manne;44
1212.0000000000002;ID003_M015_J015;manne;45
1217.0000000000032;ID003_M015_J015;manne;46
1415.9999998378989;ID003_M015_J015;manne;47
1278;ID003_M015_J015;manne;48
1216.0000000000002;ID003_M015_J015;manne;49
1222.9999999999995;ID003_M015_J015;manne;50
1272;ID003_M015_J015;manne;51
1522;ID003_M015_J015;manne;52
1299.9999999999998;ID003_M015_J015;manne;53
1273;ID003_M015_J015;manne;54
1413.9999999999998;ID003_M015_J015;manne;55
1257;ID003_M015_J015;manne;56
1681;ID003_M015_J015;manne;57
1211.0000000000005;ID003_M015_J015;manne;58
1247.9999999999998;ID003_M015_J015;manne;59
1324.0000000000005;ID003_M015_J015;manne;60
1278.9999999999995;ID003_M015_J015;manne;61
1241;ID003_M015_J015;manne;62
1256;ID003_M015_J015;manne;63
1233;ID003_M015_J015;manne;64
1242;ID003_M015_J015;manne;65
1292;ID003_M015_J015;manne;66
1261;ID003_M015_J015;manne;67
1320;ID003_M015_J015;manne;68
1252;ID003_M015_J015;manne;69
1297.0000000000002;ID003_M015_J015;manne;70
1220;ID003_M015_J015;manne;71
1318.9999999999993;ID003_M015_J015;manne;72
1272.999999997;ID003_M015_J015;manne;73
1380.0000000000005;ID003_M015_J015;manne;74
1226.0000000000005;ID003_M015_J015;manne;75
1225.0000000000011;ID003_M015_J015;manne;76
1421.9999998378989;ID003_M015_J015;manne;77
1235;ID003_M015_J015;manne;78
1230;ID003_M015_J015;manne;79
1221;ID003_M015_J015;manne;80
1322;ID003_M015_J015;manne;81
1253;ID003_M015_J015;manne;82
1259;ID003_M015_J015;minla_fav;1
1272.9999998731048;ID003_M015_J015;minla_fav;2
1244;ID003_M015_J015;minla_fav;3
1507;ID003_M015_J015;minla_fav;4
